,Time(min),Bulk Density,X Extruder Load,X Extruder RPM,X Extruder Water,X Temp Zone 3,Temp Zone 5,Die Temp,SME-Watt,Score,Score_unsup,Score_semi,ts,group,feed_comp_num,Time-ts,Time(min)-group-all,split,Die Temp_gbm,SME-Watt_gbm,Score_gbm
47,1,151.0,35.13219348333333,455.2958128333333,13.281888483333336,79.72297941666667,112.01011223333332,161.10354013333333,934.5167604,6.5,6.65101842629482,6.4498229,904,FBC + SPI + SPC,2,34,1,train,161.10354013333333,934.5167604,6.5
48,2,151.0,34.63371888333334,455.4684591,13.8831981,79.82762851666666,118.84435268333333,161.0637152666667,914.6086512,6.0,7.1157868525896415,5.9438415,904,FBC + SPI + SPC,2,35,2,train,159.69685859414292,887.6267023827047,6.244280382695598
49,3,151.0,34.45046073333333,455.46526193333335,14.043220116666667,82.70151938333333,118.67878851666669,162.35617828333335,906.9255636,6.0,7.041984335385729,5.9438415,904,FBC + SPI + SPC,2,36,3,train,159.7956011872147,901.0610283647958,5.966304645127482
50,4,151.0,34.582317200000006,455.4620647666667,13.718299433333334,81.43699111666666,118.11871448333332,164.93135218333333,911.2646064,6.0,6.968181818181818,5.9438415,904,FBC + SPI + SPC,2,37,4,train,165.51967841721964,901.0610283647958,5.853197243801049
51,5,151.0,34.80539658333333,455.3862922333334,14.173066400000002,81.19314826666667,118.8443526,166.69683236666663,921.8507976,5.5,7.044740728585493,5.9438415,904,FBC + SPI + SPC,2,38,5,train,165.51967841721964,907.938705626307,5.853197243801049
52,6,151.0,34.7690294,455.40067933333336,13.987542633333334,80.46852865000001,118.75293691666668,167.6769998166667,918.0190176,5.0,7.12129963898917,5.9438415,904,FBC + SPI + SPC,2,39,6,train,165.51967841721964,907.938705626307,5.507424329731998
53,7,151.0,33.9358344,455.4585478833333,13.77509455,79.95645859999999,119.04790516666668,167.89440841666666,886.7755188,5.0,7.1913764336007,5.9438415,904,FBC + SPI + SPC,2,40,7,train,166.3641964932027,901.0610283647958,5.507424329731998
54,8,151.0,34.41043645,455.45758873333335,13.3245271,79.28812631666666,118.68244513333336,167.91269516666668,906.2661216,5.0,7.261453228212232,5.9438415,904,FBC + SPI + SPC,2,41,8,train,166.3641964932027,901.0610283647958,5.507424329731998
55,9,151.0,35.52166806666666,455.06050215,13.444009933333332,78.95507788333333,117.89972295,168.4115161,948.11922,5.75,7.937994761415103,6.22726035,904,FBC + SPI + SPC,2,42,9,train,166.3641964932027,907.938705626307,5.507424329731998
56,10,151.0,35.1248793,455.3635924,13.3216483,78.95406188333332,117.34757175,168.86502673333334,931.7892504,6.5,8.614536294617976,6.5106792,904,FBC + SPI + SPC,2,43,10,train,166.3641964932027,899.518616073795,6.1888431300964415
57,0,174.0,36.46528551666667,323.0162119166667,13.636510383333333,78.95467146666667,96.88610918333332,143.48677008333334,772.4525315999999,6.0,6.60814859197124,6.0894227,905,FBC + SPI + SPC,2,44,11,train,154.57628193099347,845.2600824143665,6.473842169592042
58,1,174.0,36.64976278333334,322.9749692,13.450647983333331,78.53790331666666,95.35886045,151.06638728333334,781.692516,6.0,6.581852073763398,6.151278,905,FBC + SPI + SPC,2,45,12,train,149.3693581129581,786.8341788093277,6.1165654669825305
